cfips,microbusiness_density
32510,87.19662461538462
56033,73.51041048717948
08105,60.942899346153844
41061,54.52295835897436
16021,46.730638
32017,40.1403510923077
19101,39.11265630769231
49043,35.87177043589744
36061,32.892037025641024
46099,32.26129548974359
47187,31.374661000000003
10005,30.527486769230766
37175,28.95653056410256
08097,27.567022307692305
24013,26.94252964102564
56039,26.337935358974356
08113,22.46104828205128
51610,22.2163758974359
40143,22.156203076923077
32003,21.968415846153846
17037,21.895550615384614
08111,21.696998
12001,21.545587107692306
12131,21.533258846153846
56019,21.465157128205128
51510,20.783385923076924
50003,20.48864851282051
13121,20.31514258974359
25019,20.18415687179487
06041,19.752623871794874
46127,19.63061492820513
48453,19.153445384615384
24031,19.069743692307693
08013,19.061820794871796
06075,18.477962076923077
12011,18.382556512820514
12087,18.343625102564104
26125,18.285737564102565
10003,18.231213564102564
12099,17.79279302564103
31163,17.75949350307692
49049,17.465023564102562
51043,17.291391553846154
08117,17.286355435897438
48171,17.227411999999998
06059,17.062767794871796
12086,16.50676376923077
08031,16.378688487179488
18137,15.769745666666667
48085,15.747737743589745
30067,15.685003846153846
08107,15.68216758974359
06033,15.507671333333333
12021,15.471146692307693
13067,15.296604538461539
08035,14.982997256410258
06111,14.970667102564102
16013,14.835643846153845
25007,14.819736153846153
08014,14.808170102564103
09001,14.733598846153846
32005,14.637770615384616
51013,14.590959153846155
13157,14.571690000000002
51107,14.511524820512822
34003,14.36635482051282
04013,14.339256282051283
06037,14.30896941025641
02068,14.241852205128206
17197,14.076306794871794
53055,14.071236230769232
12103,14.029768794871794
06073,14.010995564102563
12095,13.985576897435898
12115,13.95558058974359
49053,13.934098076923078
48491,13.900390717948717
53033,13.830478076923077
08091,13.738112205128205
08037,13.591994871794872
49019,13.516081358974358
11001,13.508988897435897
13113,13.492881538461539
12109,13.407250871794872
02060,13.398595666666665
56021,13.380343076923078
48259,13.330247615384614
08007,13.240608512820513
20091,13.093361435897435
51540,13.048235974358976
08069,12.908009587179487
13089,12.829131307692307
49051,12.817233076923078
37055,12.799583333333333
45019,12.74279817948718
18057,12.684715512820514
41017,12.63301682051282
30031,12.47455723076923
06057,12.463143564102564
17075,12.454104761538462
37183,12.440581102564103
17167,12.332591205128207
46107,12.278563574358975
15007,12.250596384615385
51059,12.221837410256411
24027,12.209933410256411
47037,12.166418
34027,12.060253282051281
12117,12.054704153846155
08051,12.050285794871794
48091,12.04124423076923
13057,11.954758538461538
06085,11.949761025641026
48397,11.941393641025641
15009,11.92879158974359
40013,11.904005948717948
16001,11.803243384615385
06081,11.760574487179486
06061,11.721934820512821
08049,11.708360846153846
13135,11.698560871794871
36059,11.683356615384616
48113,11.592816692307691
49035,11.491966384615385
35049,11.468556487179487
06055,11.444081
08005,11.40427017948718
06005,11.322806982051283
06079,11.318513307692307
08053,11.267539082051282
06087,11.248813769230768
06097,11.210966102564102
53073,11.202032517948718
25001,11.177984128205127
12061,11.168116
12057,11.153938307692309
37119,11.152038897435897
48157,11.058170451282052
31055,11.045280005128205
41051,10.975497307692308
13117,10.97062526923077
49009,10.965665394871795
19049,10.947132025641025
27053,10.883998512820511
37021,10.882009333333334
08059,10.837395794871794
34019,10.809599638461538
06001,10.734739256410256
48121,10.733532794871795
08067,10.71372994871795
36119,10.712937589743591
42091,10.696048307692308
53031,10.676797666666667
50027,10.636268607692308
17043,10.608033435897436
49029,10.593792164102563
28071,10.581565092307693
06083,10.5520763
41005,10.530041461538461
08045,10.509679487179486
12085,10.499801717948719
26055,10.454638974358973
25017,10.42567518205128
24047,10.31970058974359
06051,10.277190058974359
36103,10.259391617948719
48209,10.232133176923076
34025,10.174375692307693
47119,10.149173964102564
41027,10.140612769230769
50007,10.130819133333333
16055,10.122313479487179
08015,10.117074820512821
37129,10.091400323076922
33015,10.078895048717948
06017,9.95444563076923
17097,9.922759046153846
41067,9.911401564102565
25021,9.897389035897435
17049,9.88547415897436
12073,9.860910848717948
49025,9.780264625641026
36087,9.771923897435897
47031,9.739632120512821
32031,9.702557330769231
48339,9.669664492307692
08119,9.668269817948717
16017,9.651343225641025
04025,9.621055066666667
49033,9.614808941025641
42003,9.59562928205128
36047,9.573492961538461
39041,9.539705123076923
29213,9.500637753846153
30029,9.42520965897436
12127,9.392757741025642
49039,9.346690843589744
29189,9.34605731025641
13247,9.304378887179487
25025,9.276757123076923
37135,9.253393797435896
26081,9.232368802564103
34021,9.196778010256411
08027,9.193648235897436
12009,9.189733115384614
08041,9.188797015384615
51840,9.14658964871795
42021,9.069177946153847
16085,9.04629871025641
16081,9.043235753846153
51678,9.027762925641026
06013,8.998777361538462
55025,8.972610379487179
42029,8.963117184615385
23005,8.96043757948718
34017,8.958784761538462
12035,8.948664787179487
08079,8.945921866666666
27037,8.944009751282051
33011,8.87973047948718
30063,8.874483625641025
49005,8.873443453846154
55067,8.870987333333334
22019,8.861975002564103
17031,8.819638053846154
24041,8.80787673076923
51630,8.801244197435897
48201,8.789950782051282
13297,8.784972102564103
37179,8.768094958974359
34005,8.766335625641025
12071,8.719133841025641
12031,8.704054635897435
34035,8.703841046153846
08047,8.697507323076923
51683,8.68492767179487
35055,8.65801135897436
12081,8.657519558974359
25009,8.646760205128206
53011,8.642677207692307
27031,8.640952217948719
45045,8.485397476923078
49011,8.470338241025642
36113,8.400261697435898
48031,8.399012876923077
27019,8.373303053846154
13281,8.354361966666668
41029,8.352476587179487
27035,8.351172143589743
29029,8.341784107692307
49021,8.307589256410257
50025,8.290555405128206
53061,8.286520051282052
16019,8.278827641025641
44001,8.264874853846154
18011,8.243299271794871
42017,8.203906823076924
29161,8.143570946153845
44005,8.141084474358975
13219,8.126535097435898
51125,8.082564461538462
47155,8.049661320512822
55029,8.026963643589744
34039,8.022819920512822
23013,8.022275615384615
12045,8.018057002564102
51079,8.008966966666666
